event_name,attacker_k0,victim_k0,tokens_k0,attacker_k1,victim_k1,tokens_k1,attacker_k2,victim_k2,tokens_k2,attacker_k3,victim_k3,tokens_k3,attacker_k4,victim_k4,tokens_k4,attacker_k5,victim_k5,tokens_k5
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,0x9daee0cc,0x67104175,12547,需要进一步分析确定具体地址，但从`flashLoan`的发起者和`transfer`的目标地址中寻找。,0x67104175 (Dough Finance协议地址),152402,未明确识别出攻击者合约地址，但交易hash 92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e和9f497c7d974b2a3bf9a1250ca08891607053921463ad61fe593148e9b426bd09相关地址可能与攻击者有关。,0x67104175 (Dough Finance),152465,无法直接从提供的路径中确定攻击者地址，需要进一步分析交易的调用者和合约交互。,Dough Finance 协议 (0x67104175),152496,0x9daee0cc,0x67104175,152330,未明确识别出攻击者地址，需要进一步分析交易的外部调用者和合约创建者。,0x67104175 (Dough Finance 合约地址),152398
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,无法直接从提供的路径中确定攻击者地址，需要结合交易hash和链上数据进行分析。,0x841ddf09 (UwU Lend 合约地址，从源文件名推断),13036,无法直接从提供的Top-30可疑路径中确定攻击者地址，需要进一步分析交易发起者和资金流向。,0x841ddf09... (UwU Lend 合约地址，从源文件名推断),423081,无法直接从提供的路径中确定攻击者地址，需要进一步分析交易的外部调用者。,UwU Lend 协议 (0x841ddf09...),422734,0x9235e0662e230bdfa94f56f4932fd09a95fea17e,0x841ddf09,423261,无法直接从提供的路径中确定攻击者地址，需要进一步分析交易的发起者。,UwU Lend 协议 (0x841ddf09...),423114,0x9a9f2cc988940ef177e81b42f444a0ef69491216,0x3e9bd0fcb3c1cba505954139c691f12292499599,423065
event_event_14_Pike_Finance_0x19066f74_20250806_112841_labeled.csv,需要进一步分析交易的调用者地址，由于没有提供调用者信息，无法直接确定攻击者地址。但是，可以推断攻击者控制了发起这些可疑交易的账户。,Pike Finance 合约 (0x19066f74)，以及可能受到跨链桥攻击影响的其他相关合约。,9681,无法直接从提供的路径中确定攻击者地址，需要进一步分析交易的调用者和合约交互。,0x19066f74 (Pike Finance 合约地址),26962,需要进一步分析交易哈希 e2912b8bf34d561983f2ae95f34e33ecc7792a2905a3e317fcc98052bce66431 和 f8ce549fe83ecaf0d889ef5bda0b613081cefdad5bd82237e3a9014584a95d11 和 a38aa16354122520b56485ad8fd239f2983afe7b524165361044d9b5ee808fed 才能确定攻击者地址。根据路径信息，发起ROOT调用的地址可能是攻击者。,0x19066f74 (Pike Finance 合约地址),27076,未明确识别出单一攻击者地址，可能涉及多个地址协同攻击。需要进一步分析交易的调用者和合约交互情况。,0x19066f74 (Pike Finance 合约地址),27023,根据现有信息无法直接确定攻击者地址，但可以推断攻击者控制了具有代理合约升级权限的账户。,Pike Finance 协议地址 (0x19066f74...，从文件名推断)，以及可能受到跨链桥攻击影响的其他协议或用户。,26891,未明确识别出攻击者地址，但交易hash e2912b8bf34d561983f2ae95f34e33ecc7792a2905a3e317fcc98052bce66431 和 f8ce549fe83ecaf0d889ef5bda0b613081cefdad5bd82237e3a9014584a95d11 以及 a38aa16354122520b56485ad8fd239f2983afe7b524165361044d9b5ee808fed 相关的外部调用地址值得关注。,0x19066f74 (Pike Finance 合约),27039
event_event_15_JokInTheBoxETH_0xfcd4acbc_20250806_113026_labeled.csv,无法直接从提供的路径中确定攻击者地址。需要结合交易哈希和外部数据（如Etherscan）来确定发起这些交易的地址。,0xfcd4acbc (JokInTheBoxETH合约地址),12236,需要进一步分析才能确定具体的攻击者地址。但是，可以确定的是，与0x81cdf138交互的地址，以及调用unstake函数的地址，都可能是攻击者控制的地址。,0xfcd4acbc (JokInTheBoxETH合约),44634,无法直接从提供的路径中确定明确的攻击者地址。需要进一步分析ROOT节点的发起者，或者追踪资金流向来确定。,JokInTheBoxETH (0xfcd4acbc),44829,未明确识别出攻击者地址，但0xb61705a0和0x85c9f92b可能与攻击者控制的合约或账户有关。,0xfcd4acbc (JokInTheBoxETH合约地址),44958,无法从提供的Top-30可疑路径中直接确定攻击者地址。需要进一步分析完整交易数据才能确定。,0xfcd4acbc (JokInTheBoxETH 合约地址),44438,0x81cdf138,0xfcd4acbc,44773
event_event_1_Blueberry_Protocol_0x3aa228a8_20250806_104150_labeled.csv,0x1d23a9c3,0x3aa228a8,13574,0x1d23a9c3,0x3aa228a8,181120,0x1d23a9c3 (基于所有可疑路径中频繁出现的地址),Blueberry Protocol (0x3aa228a8) (基于事件信息),181382,0x1d23a9c3...,0x3aa228a8...,181079,0x1d23a9c3...,0x3aa228a8...,181271,交易发起者，具体地址需要进一步分析确定，但可以肯定的是，该地址发起了包含这些可疑路径的交易。,Blueberry Protocol (0x3aa228a8),181717
event_event_1_Shezmu_0xa3a64255_20250811_102553_labeled.csv,无法确定具体的攻击者地址。需要进一步分析交易的调用者和资金流向。,Shezmu协议 (0xa3a64255),5316,需要进一步分析才能确定攻击者地址，但可以确定攻击源头与ROOT相关，需要查看ROOT的调用者。,0x175e8eb8,15783,未明确识别，需要进一步分析ROOT的实际地址。,0xa3a64255 (Shezmu协议),15791,需要进一步分析确定，但ROOT节点代表的地址很可能就是攻击者地址，因为所有可疑路径都从ROOT开始。,Shezmu协议 (0xa3a64255),15665,需要进一步分析确定，但ROOT节点代表的地址很可能就是攻击者地址,Shezmu协议 (0xa3a64255),15596,需要进一步分析才能确定攻击者地址，但ROOT节点代表了交易的起点，可能与攻击者控制的合约或EOA相关。由于没有提供ROOT节点的具体地址，暂时无法确定。,0xa3a64255 (Shezmu_0xa3a64255)，根据源文件名称判断，这可能是受攻击的合约地址。该合约可能是一个借贷协议或类似的DeFi应用。,15782
event_event_2_Barley_Finance_0x356e7481_20250806_104404_labeled.csv,未明确识别出攻击者地址，但可能与调用`bond`、`debond`、`exactInput`等函数的外部地址有关。需要进一步分析这些函数的调用者。,Barley Finance协议 (0x356e7481)，以及可能受到攻击影响的用户。,12137,0x7f3ad32c,0xbdbc91ab,85575,0x7f3ad32c,0xbdbc91ab,85502,0x7f3ad32c,0xbdbc91ab,85596,未明确识别出攻击者外部账户地址，但合约 0x7f3ad32c 和 0xbdbc91ab 在多条可疑路径中频繁出现，高度怀疑与攻击直接相关。需要进一步分析交易的调用栈才能确定外部攻击者账户。,Barley Finance 协议，特别是与 bond/debond 流程相关的合约和用户。,85641,未提供，需要进一步分析交易哈希对应的外部调用者。,0x356e7481 (Barley Finance),85469
event_event_2_Spectra_0x53635bf7_20250811_104636_labeled.csv,需要进一步分析交易哈希对应的外部账户地址，才能确定攻击者地址。目前信息不足以直接确定。,0x53635bf7 (Spectra合约地址，从源文件名推断),13392,无法直接从提供的路径中确定攻击者地址。需要进一步分析交易的调用者和资金流向才能确定。,0x53635bf7 (Spectra协议),128447,未提供攻击者地址，需要从交易Hash中进一步分析,0x53635bf7_20250811_104636 (Spectra协议),128718,0x67b88b1b7a0be21fa82fd047fa1da5eed66dee92a8b89335591aa4bbe31c3f36 (基于交易Hash 67b88b1b7a0be21fa82fd047fa1da5eed66dee92a8b89335591aa4bbe31c3f36),0x53635bf7 (Spectra协议地址),128565,无法直接从提供的路径中确定攻击者地址，需要进一步分析交易发起者和相关合约交互。,0x53635bf7 (Spectra协议合约地址，从文件名推断),128512,需要进一步分析交易哈希(67b88b1b7a0be21fa82fd047fa1da5eed66dee92a8b89335591aa4bbe31c3f36和7faf7976dcd962d43f6db829ecd7638f84b2c12854180e9884e8c27f37083852)的发起者来确定。,0x53635bf7 (Spectra协议),128121
event_event_3_Vestra_DAO_0x954386cb_20250811_154020_labeled.csv,需要进一步分析才能确定具体的攻击者地址。由于没有直接的外部调用者信息，攻击者可能是通过合约交互触发的恶意行为。可能的攻击者地址需要通过分析交易哈希对应的外部调用者来确定。,0x954386cb (Vestra DAO),8146,需要进一步分析交易数据才能确定具体的攻击者地址。目前只能确定存在潜在的攻击行为。,0x954386cb_20250811_154020 (Vestra DAO 合约),151064,需要进一步分析确定具体地址，但从`transferFrom`和`exactInputSingle`等调用来看，攻击者可能通过合约进行攻击。,0x954386cb...,151192,需要进一步分析才能确定具体的攻击者地址，但可以确定攻击者利用了合约漏洞并可能通过Uniswap V3进行清洗。,0x954386cb_20250811_154020 (Vestra DAO 合约),151140,需要进一步分析具体交易的调用者地址，但从模式上看，攻击者是发起 `exactInputSingle` 或 `start`/`stake` 交易的地址。,0x954386cb... (Vestra DAO 合约地址),151239,需要进一步分析交易哈希 a0dcf9b177702c58c5d0353aff2caeab12589bce204fb2d0e62ccbf5717f1798 和 213991ca681019f599f8f52a25ab6a5e39e690eac2ad206faf24f0c549e844c7 才能确定攻击者地址。目前信息不足以直接识别。,0x954386cb_20250811_154020 (Vestra DAO),151320
event_event_4_Prisma_Finance_0x7e39e3b3_20250811_164442_labeled.csv,需要进一步分析才能确定攻击者地址。由于没有直接的外部调用者信息，需要分析交易的调用栈和合约内部逻辑来确定。,Prisma Finance 协议 (0x7e39e3b3) 以及使用该协议的用户。,13844,0x00c503b595946bccaea3d58025b5f9b3726177bbdc9674e634244135282116c7,0x7e39e3b3,100385,0x00c503b595946bccaea3d58025b5f9b3726177bb,Prisma Finance 协议 (0x7e39e3b3),100728,0x00c503b595946bccaea3d58025b5f9b3726177bbdc9674e634244135282116c7,Prisma Finance 协议 (0x7e39e3b3_20250811_164442_labeled.csv),100562,0x00c503b595946bccaea3d58025b5f9b3726177bbdc9674e634244135282116c7,Prisma Finance 协议 (0x7e39e3b3_20250811_164442_labeled.csv),100703,0x00c503b595946bccaea3d58025b5f9b3726177bbdc9674e634244135282116c7 (基于交易Hash),Prisma Finance 协议 (0x7e39e3b3),100504
event_event_4_Wise_Lending_0xb90cf1d7_20250806_105402_labeled.csv,0x0826c023,0xb90cf1d7,13578,需要进一步分析才能确定，但ROOT节点代表的地址很可能与攻击者相关,0xb90cf1d7... (Wise Lending),521861,0x04e16a79ff928db2fa88619cdd045cdfc7979a61d836c9c9e585b3d6f6d8bc31,0xb90cf1d7,521989,交易Hash: 04e16a79ff928db2fa88619cdd045cdfc7979a61d836c9c9e585b3d6f6d8bc31 的发起者地址（未提供，需要从链上数据获取）,0xb90cf1d7... (Wise Lending),521883,0x04e16a79ff928db2fa88619cdd045cdfc7979a61d836c9c9e585b3d6f6d8bc31,0xb90cf1d7,521996,0xfe03cca92ab88d1c,0xb90cf1d7,522050
