event_name,k_neighbors,total_tokens,prompt_tokens,completion_tokens,attacker_address,victim_address,num_paths,prompt_length
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,0,9970,9071,899,0x9daee0cc,0x67104175,30,16638
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,1,87058,86294,764,未明确识别出攻击者地址，需要进一步分析交易的调用者和合约交互。,0x9daee0cc (Dough Finance 合约地址，从多条路径中提取),30,169473
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,2,204214,203281,933,未明确识别出攻击者地址，需要进一步分析具体交易中的外部调用者。,0x67104175 (Dough Finance协议合约),30,418184
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,3,285658,284640,1018,根据提供的路径信息，无法直接确定攻击者地址。需要进一步分析交易的输入数据和事件日志，才能确定攻击发起者的具体地址。但可以确定的是，攻击者通过ROOT节点发起攻击。,0x67104175 (Dough Finance协议),30,608270
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,4,317334,316420,914,未明确识别出攻击者地址，需要进一步分析具体交易的外部调用者。,0x67104175...,30,685252
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,5,332298,331571,727,未提供，需要进一步分析交易详情确定。,0x67104175 (Dough Finance),30,722240
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,0,9787,9102,685,根据提供的路径信息，无法直接确定攻击者地址。需要查看交易的from地址。,UwU Lend协议 (0x841ddf09),30,16620
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,1,97295,96175,1120,未明确，需要进一步分析具体交易执行细节，但可以确定攻击合约地址为0x841ddf09...,UwU Lend 协议,30,191836
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,2,283638,283013,625,未明确识别出攻击者合约或EOA地址，但ROOT节点代表了攻击发起点，需要进一步分析ROOT节点的调用者。,UwU Lend 协议 (0x841ddf09...),30,591426
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,3,374281,373298,983,0x9235e0662e230bdfa94f56f4932fd09a95fea17e,0x841ddf09e429b455448f3780101e3d5113a3d09,30,807385
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,4,434537,433581,956,无法直接从提供的路径中确定攻击者地址，需要进一步分析交易发起者和合约调用链。,UwU Lend 协议 (0x841ddf09...),30,964346
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,5,467426,466599,827,未明确识别出攻击者合约地址，但可以确定攻击者通过合约发起闪电贷，并进行后续操作。,UwU Lend 协议,30,1050312
